"","h2","temperature","trait.variation","replicates","mean_animal_trait","mean_plant_trait","mean_community_trait","animal_biomass","plant_biomass","community_biomass","animal_richness","plant_richness","community_richness"
"100",0.4,33,"high",2,18.1328582238388,17.9821621605817,18.019836176396,-1.13337679140094e-08,-3.27811980109604e-08,-4.41149659249698e-08,0,0,0
"101",0,34,"high",2,17.6048539904878,17.3132420645561,17.386145046039,-1.40589510236204e-08,-4.02761429056623e-08,-5.43350939292827e-08,0,0,0
"102",0.4,34,"high",2,16.8149279982369,17.4187263216875,17.2677767408249,9.05387713173234e-10,2.71596611869318e-09,3.62135383186641e-09,0,0,0
"103",0,35,"high",2,20.2928960701684,16.935230413607,17.7746468277473,-1.5082007552341e-08,-4.52785708968032e-08,-6.03605784491442e-08,0,0,0
"104",0.4,35,"high",2,17.2007301898618,19.6523100574246,19.0394150905339,6.46836917809507e-10,-1.34700954380823e-09,-7.00172625998725e-10,0,0,0
"105",0,36,"high",2,15.7387926481897,16.6421765158884,16.4163305489637,-1.50231382514377e-08,-4.16720711718838e-08,-5.66952094233216e-08,0,0,0
"106",0.4,36,"high",2,19.49001432743,17.1247049704447,17.716032309691,-5.85888321943307e-09,-1.57183902322793e-08,-2.15772734517124e-08,0,0,0
"107",0,37,"high",2,19.1448052681517,17.1429561416153,17.6434184232494,-1.27502450258217e-08,-4.32278357506414e-08,-5.59780807764631e-08,0,0,0
"108",0.4,37,"high",2,14.9267400023659,19.1894790116529,18.1237942593311,-1.01715817430946e-08,-2.53485367713497e-08,-3.55201185144443e-08,0,0,0
"109",0,38,"high",2,19.0581108612241,18.6675761506194,18.7652098282706,-1.24061307510266e-08,-4.25860279426381e-08,-5.49921586936647e-08,0,0,0
"110",0.4,38,"high",2,16.5505487364813,17.0832695476847,16.9500893448839,-7.36618667473656e-09,-2.71443714933663e-08,-3.45105581681028e-08,0,0,0
"111",0,39,"high",2,17.3600961460033,17.6335415321713,17.5651801856293,-1.34641609085013e-08,-3.97263598367267e-08,-5.3190520745228e-08,0,0,0
"112",0.4,39,"high",2,19.7871624748846,16.3584860386737,17.2156551477264,-8.22963102120261e-09,-4.53881511039876e-08,-5.36177821251902e-08,0,0,0
"113",0,40,"high",2,17.1812167437747,15.8974847961993,16.2184177830932,-1.8196892451342e-08,-7.02843670380038e-08,-8.84812594893458e-08,0,0,0
"114",0.4,40,"high",2,15.7004284634816,17.672803845911,17.1797100003036,-6.92802007786459e-09,-1.98228457344522e-08,-2.67508658123168e-08,0,0,0
