"","h2","mutualistic_strength","temperature","trait.variation","replicates","mean_animal_trait","mean_plant_trait","mean_community_trait","animal_biomass","plant_biomass","community_biomass","animal_richness","plant_richness","community_richness","temp_of_collapse","abruptness"
"24",0.4,3.25,15,"high",1,14.9999999999996,14.9999999999996,14.9999999999996,56.1201691869596,105.275401764068,161.395570951028,6,18,24,0,0
"25",0,3.5,15,"high",1,18.6448590969667,16.2061077404845,16.815795579605,26.4647843707848,50.2387222040869,76.7035065748718,6,18,24,0,0
"26",0.4,3.5,15,"high",1,14.9999999999996,14.9999999999996,14.9999999999996,58.4767040932118,107.09834778313,165.575051876341,6,18,24,0,0
"27",0,3.75,15,"high",1,15.3614485100843,17.6818208334347,17.1017277525971,25.6477391449884,57.2356095012443,82.8833486462327,6,18,24,0,0
"28",0.4,3.75,15,"high",1,14.9999999999996,14.9999999999996,14.9999999999996,60.6316077298755,108.612292694171,169.243900424046,6,18,24,0,0
"29",0,4,15,"high",1,20.098507910152,18.6832051330324,19.0370308273123,32.7328459262407,69.5980521591136,102.330898085354,6,18,24,0,0
"30",0.4,4,15,"high",1,14.9999999999995,14.9999999999995,14.9999999999995,62.5755555289899,109.876875527256,172.452431056246,6,18,24,0,0
"31",0,4.25,15,"high",1,16.6755116824061,16.820133375198,16.783977952,28.0483605679011,55.9903854035526,84.0387459714538,5,17,22,0,0
"32",0.4,4.25,15,"high",1,14.9999999999995,14.9999999999996,14.9999999999996,64.4185758495474,111.007394317384,175.425970166931,6,18,24,0,0
"33",0,4.5,15,"high",1,16.4233506622259,18.9126274936522,18.2903082857956,19.8399805801992,46.572352175945,66.4123327561442,6,15,21,0,0
"34",0.4,4.5,15,"high",1,14.9999999999999,14.9999999999998,14.9999999999998,66.1144549095559,111.986979566411,178.101434475967,6,18,24,0,0
"35",0,4.75,15,"high",1,18.1235969014233,17.2820605393887,17.4924446298974,21.1058218956334,48.6781051844535,69.7839270800869,6,16,22,0,0
"36",0.4,4.75,15,"high",1,14.9999999999995,14.9999999999995,14.9999999999995,67.7226002953618,112.875209224847,180.597809520209,6,18,24,0,0
"37",0,5,15,"high",1,18.9572647574823,16.7111551457007,17.2726825486461,31.7782638938769,67.7139069691974,99.4921708630743,6,17,23,0,0
"38",0.4,5,15,"high",1,14.9999999999996,14.9999999999996,14.9999999999996,69.2144088922618,113.6373212847,182.851730176961,6,18,24,0,0
"39",0,0.5,20,"high",1,20.3234659490408,18.1067520863144,18.660930551996,0.996303669162834,2.26418758528217,3.26049125444501,5,9,14,0,0
"40",0.4,0.5,20,"high",1,20,18.806154832852,19.104616124639,2.78062440741526,5.61420353422347,8.39482794163873,5,10,15,0,0
"41",0,0.75,20,"high",1,17.6009910664288,16.9614079061042,17.1213036961854,0.317461435300096,1.9389837181098,2.2564451534099,4,9,13,0,0
"42",0.4,0.75,20,"high",1,20,19.1544374573204,19.3658280929903,3.90128201766791,9.26551676778185,13.1667987854498,5,12,17,0,0
"43",0,1,20,"high",1,16.3052136549959,16.5581850946182,16.4949422347127,0.935028795490479,1.8414851025074,2.77651389799788,2,8,10,0,0
"44",0.4,1,20,"high",1,20,20,20,8.91339184142628,28.9662867587687,37.8796786001949,5,17,22,0,0
"45",0,1.25,20,"high",1,15.4711317498004,17.4031090522961,16.9201147266722,0.240432177665899,2.08598010857967,2.32641228624557,1,8,9,0,0
"46",0.4,1.25,20,"high",1,20,17.4924131386434,18.1193098539825,1.37130995147098,5.74516748796612,7.1164774394371,1,9,10,0,0
"47",0,1.5,20,"high",1,17.2839848283911,15.6286356893058,16.0424729740771,0.791528077751536,1.43682610405033,2.22835418180187,4,5,9,0,0
"48",0.4,1.5,20,"high",1,19.9999999999997,19.9999999999997,19.9999999999997,26.8292178529562,66.2590575066257,93.0882753595819,6,18,24,0,0
"49",0,1.75,20,"high",1,15.6116506119724,18.9979858863323,18.1514020677423,1.66516464760486,2.91053307589226,4.57569772349712,2,7,9,0,0
"50",0.4,1.75,20,"high",1,19.9999999999996,19.9999999999996,19.9999999999996,32.6474792098212,76.2893637966134,108.936843006435,6,18,24,0,0
"51",0,2,20,"high",1,17.3508935043355,18.1146044761408,17.9236767331895,9.20555646417983,21.3180980717292,30.523654535909,6,18,24,0,0
"52",0.4,2,20,"high",1,19.9999999999994,19.9999999999995,19.9999999999995,36.7764225061788,79.3289857881092,116.105408294288,6,17,23,0,0
"53",0,2.25,20,"high",1,16.5358594659483,17.8681642734834,17.5350880715996,5.37138116390401,17.3086428939984,22.6800240579024,4,12,16,0,0
