"","h2","temperature","trait.variation","replicates","mean_animal_trait","mean_plant_trait","mean_community_trait","animal_biomass","plant_biomass","community_biomass","animal_richness","plant_richness","community_richness","temp_of_collapse","abruptness"
"42",0.4,35,"high",1,17.1199479718965,17.627846947467,17.5008722035744,-6.67250149304819e-09,-1.8465066913957e-08,-2.51375684070051e-08,0,0,0,0,0
"43",0,36,"high",1,17.3251617560163,17.9282622646618,17.7774871375004,-1.22996452315764e-08,-3.74357387879805e-08,-4.97353840195569e-08,0,0,0,0,0
"44",0.4,36,"high",1,18.4099210683446,16.908613693465,17.2839405371849,-6.63699321682242e-09,-2.11512380757993e-08,-2.77882312926217e-08,0,0,0,0,0
"45",0,37,"high",1,17.229008579161,17.8136291752647,17.6674740262388,-1.46276305565137e-08,-4.24032226646636e-08,-5.70308532211772e-08,0,0,0,0,0
"46",0.4,37,"high",1,18.1468405723737,16.8104574144477,17.1445532039292,-7.92284055148897e-09,-2.00546331821146e-08,-2.79774737336036e-08,0,0,0,0,0
"47",0,38,"high",1,18.0781142727938,17.2737620223779,17.4748500849819,-1.58155503600762e-08,-4.28371710570615e-08,-5.86527214171377e-08,0,0,0,0,0
"48",0.4,38,"high",1,16.6482119784304,18.6034502456275,18.1146406788282,-6.65677019533847e-09,-1.84813171399572e-08,-2.51380873352957e-08,0,0,0,0,0
"49",0,39,"high",1,20.1673237292562,17.7055226148029,18.3209728934162,-1.43617943217722e-08,-3.8359885913631e-08,-5.27216802354031e-08,0,0,0,0,0
"50",0.4,39,"high",1,17.4185237288748,17.7561185841563,17.6717198703359,-7.38131572302464e-09,-2.16660765241728e-08,-2.90473922471975e-08,0,0,0,0,0
"51",0,40,"high",1,17.4848589865724,15.6849472632166,16.1349251940555,-1.20854996353396e-08,-4.81801956242075e-08,-6.0265695259547e-08,0,0,0,0,0
"52",0.4,40,"high",1,17.4854066297803,14.3712384027206,15.1497804594855,-6.33536779885574e-09,-1.92020778154545e-08,-2.55374456143102e-08,0,0,0,0,0
"53",0,41,"high",1,15.9615872032009,14.887623169731,15.1561141780985,-1.28314580911836e-08,-4.03405256130405e-08,-5.31719837042241e-08,0,0,0,0,0
"54",0.4,41,"high",1,18.7559298782916,16.8161976829375,17.301130731776,-7.13871885221839e-09,-1.94216600614449e-08,-2.65603789136632e-08,0,0,0,0,0
"55",0,42,"high",1,13.0059066123795,16.0976854816545,15.3247407643357,-1.3303143593859e-08,-5.91734895478872e-08,-7.24766331417463e-08,0,0,0,0,0
"56",0.4,42,"high",1,18.0157169138761,17.578363962911,17.6877022006523,-6.10014644205682e-09,-1.81285814990567e-08,-2.42287279411135e-08,0,0,0,0,0
"57",0,43,"high",1,15.8584990521194,18.4923601243645,17.8338948563032,-1.28159473917386e-08,-5.23258249208035e-08,-6.5141772312542e-08,0,0,0,0,0
"58",0.4,43,"high",1,15.8399105704642,18.2621754309815,17.6566092158522,-7.6161531827489e-09,-2.80591284492513e-08,-3.56752816320002e-08,0,0,0,0,0
"59",0,44,"high",1,19.2808190075448,16.7409671187246,17.3759300909296,-1.38164102626554e-08,-4.13830533961426e-08,-5.5199463658798e-08,0,0,0,0,0
"60",0.4,44,"high",1,17.8920466748839,17.5093678177623,17.6050375320427,-7.18434457625323e-09,-2.15879800681817e-08,-2.87723246444349e-08,0,0,0,0,0
"61",0,45,"high",1,17.7825540193589,17.3230609996244,17.4379342545581,-1.39696603776791e-08,-5.30025132492033e-08,-6.69721736268824e-08,0,0,0,0,0
"62",0.4,45,"high",1,20.0184864195421,16.1722328422231,17.1337962365529,-6.8834426467996e-09,-1.88770147809553e-08,-2.57604574277549e-08,0,0,0,0,0
